WORD,DEFINITION
F2R,[blood coagulation] factor II receptor
F&R,force and rhythm [pulse]
Fr,fracture; francium; franklin [unit charge]; French; frequency or frequent
Fr1,first fraction
F()R:Ag,factor ( ) related antigen
F()R:C,factor ( ) related cofactor activity
FRA,fibrinogen-related antigen; fluorescent rabies antibody
fra,fragil [site]
FRAC,Food Research and Action Center
frac,fracture
fract,fracture
FRAME,Fund for the Replacement of Animals in Medical Experiments
FRAP,fluorescence recovery after photo-bleaching
FRAT,free radical assay technique
FRAX,fragile [chromosome] X
fra(X),"fragile X chromosome, fragile X syndrome"
FRAXA,fragile X syndrome
FRAXE,X-linked mental retardation-fragile site [syndrome]
FRAX-MR,fragile X-mental retardation [syndrome]
Fr,BB fracture of both bones
FRC,Federal Radiation Council; frozen red cells; functional reserve capacity; functional residual capacity
FRCD,Fellow of the Royal College of Dentists; fixed ratio combination drug
FRCGP,Fellow of the Royal College of General Practitioners
FRCOG,Fellow of the Royal College of Obstetricians and Gynaecologists
FRCP,Fellow of the Royal College of Physicians
FRCPA,Fellow of the Royal College of Pathologists of Australia
FRCPath,Fellow of the Royal College of Pathologists
FRCP(C),Fellow of the Royal College of Physicians of Canada
FRCPE,Fellow of the Royal College of Physicians of Edinburgh
FRCPI,Fellow of the Royal College of Physicians of Ireland
FRCPsych,Fellow of the Royal College of Psychiatrists
FRCS,Fellow of the Royal College of Surgeons
FRCS(C),Fellow of the Royal College of Surgeons of Canada
FRCSEd,Fellow of the Royal College of Surgeons of Edinburgh
FRCSEng,Fellow of the Royal College of Surgeons of England
FRCSI,Fellow of the Royal College of Surgeons of Ireland
FRCVS,Fellow of the Royal College of Veterinary Surgeons
FRDA,Friedreich ataxia
FRE,Fischer rat embryo; flow-related enhancement
FREIR,Federal Research on Biological and Health Effects of Ionizing Radiation
frem,fremitus
freq,frequency
FRES,Fellow of the Royal Entomological Society
FRF,Fertility Research Foundation; follicle-stimulating hormone-releasing factor
FRFC,functional renal failure of cirrhosis
FRH,follicle-stimulating hormone-releasing hormone
FRh,fetal rhesus monkey kidney [cell]
FRHS,fast-repeating high sequence
frict,friction
FRIPHH,Fellow of the Royal Institute of Public Health and Hygiene
FRJM,full range joint movement
FRMedSoc,Fellow of the Royal Medical Society
FRMS,Fellow of the Royal Microscopical Society
FRO,floor reaction orthosis
FROM,full range of movements
FRP,follicle-stimulating hormone releasing protein; functional refractory period
FRS,Fellow of the Royal Society; ferredoxin-reducing substance; first rank symptom; furosemide
FRSH,Fellow of the Royal Society of Health
FRT,Family Relations Test; full recovery time
Fru,fructose
FRV,full-length retroviral [sequence]; functional residual volume
Frx,fracture
FS,factor of safety; Fanconi syndrome; Felty syndrome; fibromyalgia syndrome; field stimulation; Fisher syndrome; food service; forearm supination; fractional shortening; fracture site; fragile site; Friesinger score; frozen section; full scale [IQ]; full soft [diet]; full strength; function study; human foreskin [cells]; simple fracture
F/S,"female, spayed [animal]; frozen section"
FSA,flexible spending account
FSB,fetal scalp blood
FSBA,fluorosulfonylbenzoyladenosine
FSBP,finger systolic blood pressure
FSBT,Fowler single breath test
FSC,Food Standards Committee
FSD,focus-skin distance
FSE,fast spin echo; filtered smoke exposure
FSF,fibrin stabilizing factor; front surface fluorescence
FSG,fasting serum glucose; focal segmental sclerosis
FSGHS,focal segmental glomerular hyalinosis and sclerosis
FSGN,focal sclerosing glomerulonephritis
FSGS,focal segmental glomerulosclerosis
FSH,fascioscapulohumeral; focal and segmental hyalinosis; follicle-stimulating hormone
FSHB,"follicle-stimulating hormone, beta chain"
FSHD,facioscapulohumeral dystrophy
FSH/LR-RH,follicle-stimulating hormone and luteinizing hormone releasing hormone
FSHR,follicle-stimulating hormone receptor
FSH-RF,follicle-stimulating hormone-releasing factor
FSH-RH,follicle-stimulating hormone-releasing hormone
FSHSMA,facioscapulohumeral spinal muscular atrophy
FSI,foam stability index; Food Sanitation Institute; functional status index; function status index
FSIQ,full-scale intelligence quotient
FSL,fasting serum level
FSMB,Federation of State Medical Boards
FSN,"functional stimulation, neuromuscular"
FSOP,free-standing surgical outpatient facility
FSP,familial spastic paraplegia; fibrin split products; fibrinogen split products; fine suspended particles
F-SP,special form [Lat. forma specialis]
FSQ,Functional Status Questionnaire
FSR,Fellow of the Society of Radiographers; film screen radiography; force sensing resistor; fragmented sarcoplasmic reticulum; fusiform skin revision
FSRS,functional status rating system
FSS,focal segmental sclerosis; Freeman-Sheldon syndrome; French steel sound
FST,foam stability test
FSU,family service unit; functional spine unit
FSV,feline fibrosarcoma virus; forward stroke volume; functional subunit
FSW,field service worker
FT,Fallot tetralogy; false transmitter; family therapy; fast twitch; fatigue trial; fibrous tissue; fingertip; follow through; Fourier transform; free testosterone; free thyroxine; full term; function test
FT3,free triiodothyronine
FT4,free thyroxine
Ft,ferritin
fT,free testosterone
ft,"foot, feet"
FTA,fluorescent titer antibody; fluorescent treponemal antibody
"FTA-ABS,","FTA-Abs fluorescent treponemal antibody, absorbed [test]"
"FTAG, F-TAG",fast-binding target-attaching globulin
FTAS,familial testicular agenesis syndrome
FTAT,fluorescent treponemal antibody test
FTBD,fit to be detained; full-term born dead
FTBE,focal tick-borne encephalitis
FTBI,fractionated total body irradiation
FTBS,Family Therapist Behavioral Scale
FTC,Federal Trade Commission; follicular thyroid carcinoma; frequency threshold curve; frequency tuning curve
ftc,foot candle
FTD,femoral total density
FDTS,familial testicular dysgenesis syndrome
FTE,full-time equivalent
FTEE,full-time employe equivalent
FTF,finger to finger
FTFT,fast time frequency transform
FTG,full-thickness graft
FTH,ferritin heavy chain; fracture threshold
FTI,free thyroxine index
FT3 I,free triiodothyronine index
FT4I,free thyroxine index
FTIR,Fourier-transformed infrared; functional terminal innervation ratio
FTKA,failed to keep appointment
FTL,ferritin light chain
ftL,foot lambert
FTLB,full-term live birth
ft lb,foot pound
FTLV,feline T-lymphotropic lentivirus
FTM,fluid thioglycolate medium; fractional test meal
FTN,finger to nose
FTNB,full-term newborn
FTND,full-term normal delivery
FTO,fructose-terminated oligosaccharide
FTP,file transfer protocol
FTR,fractional tubular reabsorption
FTS,family tracking system; feminizing testis syndrome; fetal tobacco syndrome; fissured tongue syndrome; flexortenosynovitis; thymulin [Fr. facteur thymique serique]
FTSG,full thickness skin graft
FTT,failure to thrive; fat tolerance test
FTU,fluorescence thiourea
FTVD,full term vaginal delivery
FU,fecal urobilinogen; fetal urobilinogen; fluorouracil; follow-up; flux unit [ion]; fractional urinalysis; fundus
Fu,Finsen unit
F/U,"follow-up, fundus of umbilicus"
F&U,flanks and upper quadrants
5-FU,5-fluorouracil
FUB,functional uterine bleeding
FUC,fucosidase
Fuc,fucose
FUCA,fucosidase alpha
"FUDR, FUdR",fluorodeoxyuridine
FUFA,free volatile fatty acid
FUM,5-fluorouracil and methotrexate; fumarate; fumigation
FUMIR,"5-fluorouracil, mitomycin C, radiation"
FUMP,fluorouridine monophosphate
FUN,follow-up note
funct,"function, functional"
FUO,fever of unknown origin
FUOV,follow-up office visit
FUR,5-fluorouracil and radiation; fluorouracil riboside; fluorouridine; follow-up report; furin membrane-associated receptor
FUS,feline urologic syndrome; first-use syndrome
FUT,fibrinogen uptake test; fucosyl transferase
FUTP,fluoridine triphosphate
FV,femoral vein; fluid volume; Friend virus
FVA,Friend virus anemia
FVC,false vocal cord; forced vital capacity
FVE,forced volume expiration
FVIC,forced inspiratory vital capacity
FVL,"femoral vein ligation; flow volume loop; force, velocity, length"
FVOP,finger venous opening pressure
FVP,Friend virus polycythemia
FVR,feline viral rhinotracheitis; forearm vascular resistance
FVS,fetal valproate syndrome
FVT,follicular-variant-translocation
FW,Felix-Weil [reaction]; Folin-Wu [reaction]; fragment wound
Fw,F wave
fw,fresh water
FWA,Family Welfare Association
FWB,full weight bearing
FWHM,full width at half maximum
FWPCA,Federal Water Pollution Control Administration
FWR,Felix-Weil reaction; Folin-Wu reaction
FWTM,full width tenth maximum
FX,fluoroscopy; fornix; fracture frozen section
Fx,fracture
fx,fracture; friction
Fx-dis,fracture-dislocation
FXN,function
FXS,fragile X syndrome
FY,fiscal year
FYI,for your information
FYMS,fourth-year medical student
FZ,focal zone; furazolidone
Fz,frontal midline placement of electrodes in electroencephalography
FZS,Fellow of the Zoological Society
G0,quiescent phase of cells leaving the mitotic cycle
G1,presynthetic gap [phase of cells prior to DNA synthesis]
G2,postsynthetic gap [phase of cells following DNA synthesis]
GI,primigravida
GII,secundigravida
GIII,tertigravida
GA,Gamblers Anonymous; gastric analysis; gastric antrum; general anesthesia; general angiography; general appearance; gentisic acid; germ-cell antigen; gestational age; gibberellic acid; gingivoaxial; glucoamylase; glucose; glucose/acetone; glucuronic acid; Golgi apparatus; gramicidin A; granulocyte adherence; granuloma annulare; guessed average; gut-associated; gyrate atrophy
G/A,globulin/albumin [ratio]
Ga,gallium; granulocyte agglutination
ga,gauge
GAA,gossypol acetic acid
GAAS,Goldberg Anorectic Attitude Scale
"GABA, gaba",gamma-aminobutyric acid
"GABAT, GABA-T",gamma-aminobutyric acid transaminase
GABHS,group A beta-hemolytic streptococcus
GABOA,gamma-amino-beta-hydroxybutyric acid
GABRA,gamma-aminobutyric acid alpha receptor
GAD,generalized anxiety disorder; glutamic acid decarboxylase
GADH,gastric alcohol dehydrogenase
GADS,gonococcal arthritis/dermatitis syndrome
GAF,global assessment of functioning [scale]
GAFG,goal attainment follow-up guide
GAG,glycosaminoglycan; group-specific antigen gene
GAHS,galactorrhea-amenorrhea hyperprolactinemia syndrome
GaIN,Georgia Interactive Network for Medical Information
GAIPAS,General Audit Inpatient Psychiatric Assessment Scale
GAL,galactose; galactosyl; glucuronic acid lactone
Gal,galactose
gal,galactose; gallon
GALBP,galactose-binding protein
GalC,galactocerebroside
GALE,galactose epimerase
GALK,galactokinase
GalN,galactosamine
Gal-1-P,galactose-1-phosphate
GALT,galactose-1-p-uridyltransferase; gut-associated lymphoid tissue
GALV,gibbon ape leukemia virus
"Galv, galv",galvanic
gG,immunoglobulin G
GAME,"immunoglobulins G, A, M, and E"
GAN,giant axon neuropathy
G and D,growth and development
"gang, gangl","ganglion, ganglionic"
GANS,granulomatous angiitis of the nervous system
GAO,general accounting office
GAP,D-glyceraldehyde-3-phosphate; growth associated protein; guanosine triphosphatase-activating protein
GAPD,glyceraldehyde-3-phosphate dehydrogenase
GAPDH,glyceraldehyde-3-phosphate dehydrogenase
GAPDP,glyceraldehyde-3-phosphate dehydrogenase pseudogene
GAPO,"growth retardation, alopecia, pseudo-anodontia, and optic atrophy [syndrome]"
GARS,glycine amide phosphoribosyl synthetase
GAS,galactorrhea-amenorrhea syndrome; gastric acid secretion; gastrin; gastroenterology; general adaptation syndrome; generalized arteriosclerosis; global anxiety score; global assessment scale; goal attainment scale; growth arrest-specific [gene]
GASA,growth-adjusted sonographic age
gastroc,gastrocnemius [muscle]
GAT,gelatin agglutination test; geriatric assessment team; Gerontological Apperception Test; group adjustment therapy
GAWTS,genomic amplification with transcript sequencing
GB,gallbladder; glial bundle; goof balls; Guillain-Barre [syndrome]
Gb,gilbert
GBA,ganglionic blocking agent; gingivobuccoaxial
GBAP,glucocerebrosidase pseudogene
GBD,gallbladder disease; gender behavior disorder; glass blower\u0027s disease; granulomatous bowel disease
GBG,glycine-rich beta-glycoprotein; gonadal steroid-binding globulin
GBH,gamma-benzene hexachloride; graphite benzalkonium-heparin
GBHA,glyoxal-bis-(2-hydroxyanil)
GBI,globulin-binding insulin
GBIA,Guthrie bacterial inhibition assay
GBL,glomerular basal lamina
GBM,glomerular basement membrane
GBP,galactose-binding protein; gastric bypass; gated blood pool
Gbq,gigabequerel
GBS,gallbladder series; gastric bypass surgery; group B Streptococcus; general biopsychosocial screening; Guillain-Barre syndrome; glycerine-buffered saline [solution]
GBSS,Gey\u0027s balanced saline solution; Guillain-Barre-Strohl syndrome
GC,ganglion cell; gas chromatography; general circulation; general closure; general condition; generalizability coefficient; geriatric care; germinal center; glucocorticoid; goblet cell; Golgi cell; gonococcus; gonorrhea; granular casts; granulomatous colitis; granulosa cell; group-specific component; guanine cytosine; guanylcyclase
Gc,gigacycle; gonococcus; group-specific component
GCA,gastric cancer area; giant cell arteritis
g-cal,gram calorie
GCAP,germ-cell alkaline phosphatase
GCB,gonococcal base
GCBM,glomerular capillary basement membrane
GCD,graft coronary disease
GCF,growth-rate-controlling factor
GCFT,gonococcal/gonorrhea complement fixation test
GCG,glucagon
GCGR,glucagon receptor; glucocorticoid receptor
GCI,General Cognitive Index
GCIIS,glucose controlled insulin infusion system
GCK,glomerulocystic kidney; glucokinase
GCL,globoid cell leukodystrophy
GCLO,gastric Campylobacter-like organism
GCM,Gorlin-Chaudhry-Moss [syndrome]
g-cm,gram-centimeter
GC-MS,gas chromatography-mass spectrometry
GCN,geometric constraint network; giant cerebral neuron
g-coef,generalizability coefficient
GCP,geriatric cancer population; granulocyte chemotactic protein
GCPS,Greig cephalopolysyndactyly syndrome
GCR,glucocorticoid receptor; Group Conformity Rating
GCRC,General Clinical Research Center [of NIH]
GCRS,gynecological chylous reflux syndrome
GCS,general clinical services; Gianotti-Crosti syndrome; Glasgow Coma Scale; glucocorticosteroid; glutamylcysteine synthetase; glycine cleavage system
GCSA,Gross cell surface antigen
G-CSF,granulocyte colony-stimulating factor
GCSFR,granulocyte colony-stimulating factor receptor
GCSP,glycine cleavage system protein
GCT,general care and treatment; germ-cell tumor; giant cell thyroiditis; giant cell tumor
GC(T)A,giant cell (temporal) arteritis
GCU,gonococcal urethritis
GCV,great cardiac vein
GCVF,great cardiac vein flow
GCW,glomerular capillary wall
GCWM,General Conference on Weights and Measures
GCY,gastroscopy
GD,gastroduodenal; Gaucher disease; general diagnostics; general dispensary; gestational day; Gianotti disease; gonadal dysgenesis; Graves disease; growth and development; growth delay
Gd,gadolinium
G&D,growth and development
GDA,gastroduodenal artery; germine diacetate; Graves disease autoantigen
GDB,gas density balance; guide dogs for the blind
GDC,giant dopamine-containing cell; General Dental Council
Gd-CDTA,gadolinium-cyclohexane-diamine-tetraacetic acid
Gd-DOTA,gadolinium-tetra-azacyclo-dodecatetraacetic acid
Gd-DTPA,gadolinium-diethylene-triamine-pentaacetic acid
Gd-EDTA,gadolinium diethylene-triamine-pentaacetic acid
GDF,gel diffusion precipitin
GDH,glucose dehydrogenase; glutamate dehydrogenase; glycerophosphate dehydrogenase; glycol dehydrogenase; gonadotropin hormone; growth and differentiation hormone
GDID,genetically determined immunodeficiency disease
g/dl,grams per deciliter
GDM,gestational diabetes mellitus
GDMO,General Duties Medical Officer
gDNA,genomic deoxyribonucleic acid
GDNF,giant cell line-derived neutrophilic factor
GDP,gel diffusion precipitin; gross domestic product; guanosine diphosphate
GDS,geriatric depression scale; Global Deterioration Scale; Gordon Diagnostic System [for attention disorders]; gradual dosage schedule; guanosine diphosphate dissociation stimulator
GDT,geometrically deformable template
GDU,gastroduodenal ulcer
GDW,glass-distilled water
GDXY,XY gonadal dysgenesis
GE,gastric empyting; gastroemotional; gastroenteritis; gastroenterology; gastroenterostomy; gastroesophageal; gastrointestinal endoscopy; gel electrophoresis; generalized epilepsy; generator of excitation; gentamicin; glandular epithelium; gradient echo
Ge,germanium
Ge-,Gerbich negative
G/E,granulocyte/erythroid [ratio]
GEA,gastric electrical activity
GEC,galactose elimination capacity; glomerular epithelial cell
GECC,Government Employees\u0027 Clinic Centre
GEE,generalized estimating equation
GEF,gastroesophageal fundoplication; glossoepiglottic fold; gonadotropin enhancing factor
GEH,glycerol ester hydrolase
gel,gelatin
GEMISCH,Generalized Medical Information System for Community Health
GEMSS,glaucoma-lens ecopia-microspherophakia-stiffness-shortness syndrome
GEN,gender; generation
Gen,"genetics, genetic; genus"
gen,general; genital
genet,"genetic, genetics"
GENETOX,Genetic Toxicology [data base]
genit,"genitalia, genital"
GENOVA,generalized analysis of variance
GENPS,genital neoplasm-papilloma syndrome
GENT,gentamicin
GEP,gastroenteropancreatic; gustatory evoked potential
GEPG,gastroesophageal pressure gradient
GER,gastroesophageal reflux; geriatrics; granular endoplasmic reticulum
Ger,geriatric(s); German
GERD,gastroesophageal reflux disease
geriat,"geriatrics, geriatric"
GeriROS,geriatric review of systems
GERL,Golgi-associated endoplasmic reticulum lysosome
Geront,"gerontology, gerontologist, gerontologic"
GERRI,geriatric evaluation by relative rating instrument
GES,gastroesophageal sphincter; glucose-electrolyte solution
GESICA,Argentinian Study Group for the Prevention of Cardiac Insufficiency [Grupo de Estudio de la Sobrevida en la Insuficiencia Cardiaca en Argentina]
"GEST, gest",gestation; gestational
GET,gastric emptying time; general endotracheal [anesthesia]; graded treadmill exercise test
GEU,geriatric evaluation unit
Gev,giga electron volt
GEWS,Gianturco expandable wire stent
GEX,gas exchange
GF,gastric fistula; gastric fluid; germ-free; glass factor; glomerular filtration; gluten-free; grandfather; growth factor; growth failure
gf,gram-force
GFA,glial fibrillary acidic [protein]
GF-AAS,graphite furnace atomic absorption spectroscopy
GFAP,glial fibrillary acidic protein
GFAT,glutamine:fructose-6-phosphate amidotransferase
GFCI,ground-fault circuit-interrupter
GFD,gingival fibromatosis-progressive deafness [syndrome]; gluten-free diet
GFFS,glycogen and fat-free solid
GFH,glucose-free Hanks [solution]
GFI,glucagon-free insulin; goodness-of-fit index; ground-fault interrupter
GFL,giant follicular lymphoma
GFP,gamma-fetoprotein; gel-filtered platelet; glomerular filtered phosphate
GFR,glomerular filtration rate
GFRP,growth factor response protein
GFS,global focal sclerosis; guafenesin
GG,gamma globulin; genioglossus; glycylglycine
GGA,general gonadotropic activity
GGC,gamma-glutamyl carboxylase
GGCS,gamma-glutamyl cysteine synthetase
GGE,generalized glandular enlargement; gradient gel electrophoresis
GGFC,gamma-globulin-free calf [serum]
GGG,glycine-rich gamma-glycoprotein
GGM,glucose-galactose malabsorption
GG,"or S glands, goiter, or stiffness [of neck]"
GGPNA,gamma-glutamyl-p-nitroanilide
GGT,gamma-glutamyl transferase; gamma-glutamyl transpeptidase; geranylgeranyltransferase
GGTB,glycoprotein 4-beta-galactosyl transferase
GGTP,gamma-glutamyl transpeptidase
GGVB,"gelatin, glucose, and veronal buffer"
GH,general health; general hospital; genetic hypertension; genetically hypertensive [rat]; geniohyoid; growth hormone
GHA,Group Health Association
GHAA,Group Health Association of America
GHB,gamma hydroxybutyrate (also known as: liquid x; Georgia home boy; Goop; gamma-oh; and grievous bodily harm)
GHb,glycated hemoglobin
GHBA,gamma-hydroxybutyric acid
GHBP,growth hormone binding protein
GHC,group health cooperative
GHD,growth hormone deficiency
GHDD,ghosal hematodiaphyseal dysplasia
GHF,growth hormone factor
GHL,growth hormone-like
GHPM,general health policy model
GHPQ,General Health Perception Questionnaire
GHQ,General Health Questionnaire
GHR,granulomatous hypersensitivity reaction
GHRF,growth hormone-releasing factor
GHRFR,growth hormone-releasing releasing factor
GH-RH,growth hormone-releasing hormone
GHRHR,growth hormone-releasing hormone receptor
GHRI,general health rating index
GH-RIF,growth hormone-release inhibiting factor
GH-RIH,growth hormone-release inhibiting hormone
GHV,goose hepatitis virus; growth hormone variant
GHz,gigahertz
GI,gastrointestinal; gelatin infusion [medium]; gingival index; globin insulin; glomerular index; glucose intolerance; granuloma inguinale; growth inhibition
gi,gill
GIA,gastrointestinal anastomosis
GIB,gastrointestinal bleeding
GIBF,gastrointestinal bacterial flora
GICA,gastrointestinal cancer
GID,gender identity disorder
GIF,gastric intrinsic factor; growth hormone-inhibiting factor
GIFB,"growth hormone inhibitory factor, brain"
GIFT,gamete intrafallopian transfer; granulocyte immunofluorescence test
GIGO,"garbage in, garbage out"
GIH,gastrointestinal hemorrhage; growth-inhibiting hormone
GII,gastrointestinal infection
GIK,glucose-insulin-potassium [solution]
GIM,general internal medicine; gonadotropin-inhibiting material
"Ging, ging","gingiva, gingival"
g-ion,gram-ion
GIP,gastric inhibitory polypeptide; giant cell interstitial pneumonia; glucose-dependent insulinotropic peptide; gonorrheal invasive peritonitis
GIPR,gastric inhibitory polypeptide receptor
GIR,global improvement rating
GIS,gas in stomach; gastrointestinal series; geographic information system; guaranteed income supplement
GISSI,Italian Study Group for the Prevention of Myocardial Infarction [Gruppo Italiano per lo Studio della Sopravivenza nell\u0027Infarto Miocardico]
GIT,gastrointestinal tract
GITS,gastrointestinal therapeutic system
GITSG,gastrointestinal tumor study group
GITT,gastrointestinal transit time; glucose insulin tolerance test
GJ,gap junction; gastric juice; gastrojejunostomy
GJA-S,gastric juice aspiration syndrome
GK,galactokinase; glomerulocystic kidney; glycerol kinase
GKD,glycerol kinase deficiency
GKI,glucose potassium insulin
GL,gland; glomerular layer; glycolipid; glycosphingolipid; glycyrrhizin; greatest length; gustatory lacrimation
Gl,beryllium [Lat. glucinium]; glabella
gl,"gill; gland, glandular"
g/l,grams per liter
GL-4,glycophospholipid
GLA,galactosidase A; gamma-linolenic acid; gingivolinguoaxial
glac,glacial
GLAD,gold-labelled antigen detection
gland,glandular
GLAT,galactose + activator
GLB,galactosidase beta
GLC,gas-liquid chromatography
Glc,glucose
glc,glaucoma
GlcA,gluconic acid
GLC-MS,gas-liquid chromatography-mass spectrometry
GlcN,glucosamine
GlcUA,D-glucuronic acid
GLD,globoid leukodystrophy; glutamate dehydrogenase
GLDH,glutamic dehydrogenase
GLH,germinal layer hemorrhage; giant lymph node hyperplasia
GLI,glicentin; glucagon-like immunoreactivity
GLIM,generalized linear interactive model
GLM,general linear model
GLN,glutamine
Gln,glucagon; glutamine
GLNH,giant lymph node hyperplasia
GLNN,galanin
GLO,glyoxylase
GLO1,glyoxylase 1
glob,globular; globulin
GLP,glucagon-like peptide; glucose-L-phosphate; glycolipoprotein; good laboratory practice; group living program
GLPR,glucagon-like peptide receptor
GLR,graphic level recorder
GLRA,glycine receptor alpha
GLRB,glycine receptor beta
GLS,generalized lymphadenopathy syndrome
GLTN,glomerulotubulonephritis
GLTT,glucose-lactate tolerance test
GLU,glucose; glucuronidase; glutamate; glutamic acid
Glu,glucuronidase; glutamic acid; glutamine
glu,glucose; glutamate
GLU-5,five-hour glucose tolerance test
GLUC,glucosidase
gluc,glucose
GLUD,glutamate dehydrogenase
GLUDP,glutamate dehydrogenase pseudogene
GLUL,glutamate (ammonia) ligase
GLUR,glutamate receptor
GLUT,glucose transporter
GLV,gibbon ape leukemia virus; Gross leukemia virus
GLVR,gibbon ape leukemia virus receptor
Glx,glucose; glutamic acid
"GLY, gly",glycine
glyc,glyceride
GM,gastric mucosa; Geiger-Muller [counter]; general medicine; genetic manipulation; geometric mean; giant melanosome; gram; grand mal [epilepsy]; grandmother; grand multiparity; granulocyte-macrophage; gray matter; growth medium
GM+,gram-positive
GM-,gram-negative
G-M,Geiger-Muller [counter]
G/M,granulocyte/macrophage
Gm,an allotype marker on the heavy chains of immunoglobins
gm,gram
g-m,gram-meter
GMA,glyceral methacrylate
GMB,gastric mucosal barrier; granulomembranous body
GMBF,gastric mucosa blood flow
GMC,general medical clinic; general medical council; giant migratory contraction; grivet monkey cell
gm,cal gram calorie
gm/cc,grams per cubic centimeter
GMCD,grand mal convulsive disorder
GM-CFU,granulocyte-macrophage colony forming unit
GM-CSA,granulocyte-macrophage colony-stimulating activity
GM-CSF,granulocyte-macrophage colony-stimulating factor
GMD,geometric mean diameter; glycopeptide moiety modified derivative
GME,graduate medical education
GMENAC,Graduate Medical Education National Advisory Committee
GMH,germinal matrix hemorrhage
GMK,green monkey kidney [cells]
GML,gut mucosa lymphocyte
g/ml,grams per milliliter
gm/l,grams per liter
gm-m,gram-meter
GMN,gradient moment nulling
g-mol,gram-molecule
GMP,glucose monophosphate; good manufacturing practice; granule membrane protein; guanosine monophosphate
3\u0027:5\u0027-GMP,guanosine 3\u0027:5\u0027-cyclic phosphate
GMPR,guanine monophosphate reductase
GMR,"gallops, murmurs, rubs; gradient motion rephasing"
GMRH,germinal matrix related hemorrhage
GMRI,gated magnetic resonance imaging
GMS,General Medical Service; geriatric mental state; Gilbert-Meulengracht syndrome; Gomori methenamine silver [stain]; goniodysgenesis-mental retardation-short stature [syndrome]; glyceryl monostearate
GM&S,general medicine and surgery
GMSC,General Medical Services Committee
GMT,geometric mean titer; gingival margin trimmer
GMV,gram molecular volume
GMW,gram molecular weight
GN,gaze nystagmus; glomerulonephritis; glucose nitrogen [ratio]; gnotobiote; graduate nurse; gram-negative; guanine nucleotide
G/N,glucose/nitrogen ratio
Gn,gnathion; gonadotropin
GNA,general nursing assistance
GNAT,"guanine nucleotide-binding protein, alpha-transducing"
GNAZ,guanosine nucleotide-binding alpha Z polypeptide
GNB,ganglioneuroblastoma; gram-negative bacillus; guanine nucleotide-binding [protein]
GNBM,gram-negative bacillary meningitis
GNBT,"guanine nucleotide-binding protein, beta transducing"
GNC,general nursing care; General Nursing Council; geriatric nurse clinician
GND,Gram-negative diplococci
GNID,gram-negative intracellular diplococci
GNP,geriatric nurse practitioner; gerontologic nurse practitioner
GNR,gram-negative rods
GnRF,gonadotropin-releasing factor
GnRH,gonadotropin-releasing hormone
GnRHR,gonadotropin-releasing hormone receptor
G/NS,glucose in normal saline [solution]
GNTP,Graduate Nurse Transition Program
GO,gastro-[o]esophageal; geroderma osteodysplastica; gonorrhea; glucose oxidase
G&O,gas and oxygen
Go,gonion
GOA,generalized osteoarthritis
GOAT,Galveston Orientation and Amnesia Test
GOBAB,gamma-hydroxy-beta-amino-butyric acid
GOE,"gas, oxygen, and ether"
GOG,Gynecologic Oncology Group
GOH,geroderma osteodysplastica hereditaria
GW,gigaohm [one billion ohms]
GON,gonococcal ophthalmia neonatorum
GOND,glaucomatous optic nerve damage
GOQ,glucose oxidation quotient
GOR,gastroesophageal reflux; general operating room
GOS,Glasgow outcome score
GOT,aspartate aminotransferase; glucose oxidase test; glutamate oxaloacetate transaminase; goal of treatment
GOTM,"glutamic-oxaloacetic transaminase, mitochondrial"
GP,"gangliocytic paraganglioma; gastroplasty; general paralysis, general paresis; general practice, general practitioner; genetic prediabetes; geometric progression; globus pallidus; glucose phosphate; glutathione peroxidase; glycerophosphate; glycopeptide; glycophorin; glycoprotein; Goodpasture syndrome; gram-positive; guinea pig; gutta percha"
G/P,gravida/para
G-1-P,glucose-1-phosphate
"G3P,",G-3-P glyceraldehyde-3-phosphate; glycerol-3-phosphate
"G6P,",G-6-P glucose-6-phosphate
Gp,glycoprotein
gp,gene product; glycoprotein; group
GPA,Goodpasture antigen; grade point average; Group Practice Association; guinea pig albumin
GPAIS,guinea pig anti-insulin serum
"G6Pase,",G-6-Pase glucose-6-phosphatase
GPB,glossopharyngeal breathing; glycophorin B
GPC,gastric parietal cell; gel permeation chromatography; giant papillary conjunctivitis; glycophorin C; granular progenitor cell; guinea pig complement
GPCI,geographic practice cost index
GPD,glucose-6-phosphate dehydrogenase; glycerol-phosphate dehydrogenase
G3PD,glucose-3-phosphate dehydrogenase
"G6PD,",G-6-PD glucose-6-phosphate dehydrogenase
G-6-PDA,glucose-6-phosphate dehydrogenase enzyme variant A
"G6PDH,",G-6-PDH glucose-6-phosphate dehydrogenase reduced
G6PDL,glucose-6-phosphate dehydrogenase-like
GPE,guinea pig embryo; granulocyte colony-stimulating factor promoter element
GPEBP,granulocyte colony-stimulating factor promoter element binding protein
GPEP,General Professional Education of the Physician
GPET,graphic plan evaluation tool
GPF,glomerular plasma flow; granulocytosis-promoting factor
GPGG,guinea pig gamma-globulin
GPh,Graduate in Pharmacy
GPHN,giant pigmented hairy nevus
GPHV,guinea pig herpes virus
GPI,general paralysis of the insane; glucose phosphate isomerase; glycoprotein I; glycosylphosphatidylinositol; guinea pig ileum
GpIb,glycoprotein Ib
GPIMH,guinea pig intestinal mucosal homogenate
GPIPID,guinea pig intraperitoneal infectious dose
GPK,guinea pig kidney [antigen]
GPKA,guinea pig kidney absorption [test]
GPLV,guinea pig leukemia virus
